state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Chattisgarh,Balrampur,Ramanujganj,"Chili Red",Other,12/03/2019,600,600,600
Chattisgarh,Balrampur,Ramanujganj,"Chili Red",Other,13/03/2019,600,600,600
Chattisgarh,Balrampur,Ramanujganj,"Chili Red",Other,16/03/2019,600,600,600
Chattisgarh,Balrampur,Ramanujganj,"Chili Red",Other,19/03/2019,600,600,600
Chattisgarh,Balrampur,Ramanujganj,"Chili Red",Other,25/03/2019,600,600,600
Chattisgarh,Balrampur,Ramanujganj,"Chili Red",Other,31/03/2019,500,500,500
Chattisgarh,Balrampur,Ramanujganj,"Chili Red",Other,05/04/2019,600,600,600
Chattisgarh,Balrampur,Ramanujganj,"Chili Red",Other,06/04/2019,600,600,600
Chattisgarh,Balrampur,Ramanujganj,"Chili Red",Other,08/04/2019,600,600,600
Chattisgarh,Balrampur,Ramanujganj,"Chili Red",Other,30/04/2019,5000,5000,5000
Chattisgarh,Balrampur,Ramanujganj,"Chili Red",Other,09/05/2019,600,600,600
Chattisgarh,Balrampur,Ramanujganj,"Chili Red",Other,31/05/2019,5000,5000,5000
Chattisgarh,Balrampur,Ramanujganj,"Chili Red",Other,11/06/2019,600,600,600
Chattisgarh,Balrampur,Ramanujganj,"Chili Red",Other,18/06/2019,600,600,600
Chattisgarh,Balrampur,Ramanujganj,"Chili Red",Other,06/07/2019,600,600,600
Chattisgarh,Balrampur,Ramanujganj,"Chili Red",Other,11/07/2019,600,600,600
Chattisgarh,Balrampur,Ramanujganj,"Chili Red",Other,16/07/2019,600,600,600
Chattisgarh,Balrampur,Ramanujganj,"Chili Red",Other,22/07/2019,600,600,600
Chattisgarh,Balrampur,Ramanujganj,"Chili Red",Other,07/08/2019,600,600,600
Chattisgarh,Jashpur,Pathalgaon,"Chili Red",Other,31/03/2019,6000,6000,6000
Chattisgarh,Kondagaon,Keshkal,"Chili Red",Red,08/05/2019,9500,9500,9500
Chattisgarh,Kondagaon,Keshkal,"Chili Red",Red,20/06/2019,6000,7000,6500
Chattisgarh,Mahasamund,Bagbahra,"Chili Red",Bold,28/02/2019,9000,9000,9000
Chattisgarh,Mahasamund,Bagbahra,"Chili Red",Bold,30/03/2019,9300,9300,9300
Goa,"South Goa",Canacona,"Chili Red",Other,25/04/2019,30000,30000,30000
Gujarat,Banaskanth,Vadgam,"Chili Red",Other,12/07/2019,3255,3255,3255
Gujarat,Porbandar,Porbandar,"Chili Red",Other,24/01/2019,4000,7325,5660
Gujarat,Porbandar,Porbandar,"Chili Red",Other,18/02/2019,8250,8750,8500
Gujarat,Porbandar,Porbandar,"Chili Red",Other,25/02/2019,5500,7025,6260
Gujarat,Porbandar,Porbandar,"Chili Red",Other,28/02/2019,4500,8325,6410
Gujarat,Porbandar,Porbandar,"Chili Red",Other,01/03/2019,0,9725,9725
Gujarat,Porbandar,Porbandar,"Chili Red",Other,06/03/2019,4650,9700,7125
Gujarat,Porbandar,Porbandar,"Chili Red",Other,07/03/2019,4350,9875,7110
Gujarat,Porbandar,Porbandar,"Chili Red",Other,08/03/2019,5000,10125,7560
Gujarat,Porbandar,Porbandar,"Chili Red",Other,09/03/2019,5575,10525,8050
Gujarat,Porbandar,Porbandar,"Chili Red",Other,12/03/2019,5200,12275,8735
Gujarat,Porbandar,Porbandar,"Chili Red",Other,13/03/2019,5025,10775,7900
Gujarat,Porbandar,Porbandar,"Chili Red",Other,15/03/2019,5500,11975,8735
Gujarat,Porbandar,Porbandar,"Chili Red",Other,16/03/2019,5525,12200,8850
Gujarat,Porbandar,Porbandar,"Chili Red",Other,18/03/2019,5250,12800,9025
Gujarat,Porbandar,Porbandar,"Chili Red",Other,19/03/2019,5025,12700,8860
Gujarat,Porbandar,Porbandar,"Chili Red",Other,01/04/2019,5450,11500,8475
Gujarat,Porbandar,Porbandar,"Chili Red",Other,02/04/2019,5025,11875,8450
Gujarat,Porbandar,Porbandar,"Chili Red",Other,03/04/2019,5775,12000,8885
Gujarat,Porbandar,Porbandar,"Chili Red",Other,05/04/2019,5175,11025,8100
Gujarat,Porbandar,Porbandar,"Chili Red",Other,06/04/2019,4700,10375,7535
Gujarat,Porbandar,Porbandar,"Chili Red",Other,08/04/2019,5025,10300,7660
Gujarat,Porbandar,Porbandar,"Chili Red",Other,09/04/2019,5025,9360,7190
Gujarat,Porbandar,Porbandar,"Chili Red",Other,10/04/2019,5000,9000,7000
Gujarat,Porbandar,Porbandar,"Chili Red",Other,11/04/2019,5025,9275,7150
Gujarat,Porbandar,Porbandar,"Chili Red",Other,12/04/2019,8450,8900,8675
Gujarat,Porbandar,Porbandar,"Chili Red",Other,13/04/2019,4750,9250,7000
Gujarat,Porbandar,Porbandar,"Chili Red",Other,15/04/2019,5000,8875,6935
Gujarat,Porbandar,Porbandar,"Chili Red",Other,16/04/2019,5100,7450,6275
Gujarat,Porbandar,Porbandar,"Chili Red",Other,17/04/2019,4375,8600,6485
Gujarat,Porbandar,Porbandar,"Chili Red",Other,18/04/2019,4000,8450,6225
Gujarat,Porbandar,Porbandar,"Chili Red",Other,19/04/2019,4500,5500,5000
Gujarat,Porbandar,Porbandar,"Chili Red",Other,20/04/2019,6250,6775,6510
Gujarat,Porbandar,Porbandar,"Chili Red",Other,22/04/2019,6550,7275,6910
Gujarat,Porbandar,Porbandar,"Chili Red",Other,24/04/2019,4000,8450,6225
Gujarat,Porbandar,Porbandar,"Chili Red",Other,25/04/2019,4025,7650,5835
Gujarat,Porbandar,Porbandar,"Chili Red",Other,26/04/2019,3525,7650,5585
Gujarat,Porbandar,Porbandar,"Chili Red",Other,27/04/2019,3725,7625,5675
Gujarat,Porbandar,Porbandar,"Chili Red",Other,29/04/2019,4525,6600,5560
Gujarat,Porbandar,Porbandar,"Chili Red",Other,02/05/2019,5150,8000,6575
Gujarat,Porbandar,Porbandar,"Chili Red",Other,06/05/2019,5750,6425,6085
Gujarat,Porbandar,Porbandar,"Chili Red",Other,07/05/2019,2750,7300,5025
Gujarat,Porbandar,Porbandar,"Chili Red",Other,09/05/2019,3525,7925,5725
Gujarat,Porbandar,Porbandar,"Chili Red",Other,10/05/2019,0,6750,6750
Gujarat,Surat,Nizar,"Chili Red",Other,21/01/2019,1600,2020,1800
Gujarat,Surat,Nizar,"Chili Red",Other,24/01/2019,1885,1885,1885
Gujarat,Surat,Nizar,"Chili Red",Other,30/01/2019,1625,1865,1750
Gujarat,Surat,Nizar,"Chili Red",Other,01/02/2019,1550,1765,1621
Gujarat,Surat,Nizar,"Chili Red",Other,04/02/2019,1525,1885,1750
Gujarat,Surat,Nizar,"Chili Red",Other,08/02/2019,1625,2020,1850
Gujarat,Surat,Nizar,"Chili Red",Other,14/02/2019,1425,2020,1650
Gujarat,Surat,Nizar,"Chili Red",Other,20/02/2019,1421,1825,1625
Gujarat,Surat,Nizar,"Chili Red",Other,21/02/2019,1600,1600,1600
Gujarat,Surat,Nizar,"Chili Red",Other,25/02/2019,1450,1655,1565
Gujarat,Surat,Nizar,"Chili Red",Other,01/03/2019,1250,1765,1450
Jharkhand,Garhwa,Gadhwah,"Chili Red",Bold,18/03/2019,7000,7400,7230
Jharkhand,Ranchi,Khunti,"Chili Red",Other,01/01/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,03/01/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,04/01/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,07/01/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,08/01/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,09/01/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,10/01/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,11/01/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,12/01/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,15/01/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,16/01/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,18/01/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,19/01/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,21/01/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,22/01/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,23/01/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,25/01/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,26/01/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,27/01/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,29/01/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,30/01/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,01/02/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,03/02/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,04/02/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,05/02/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,06/02/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,08/02/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,09/02/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,12/02/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,14/02/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,15/02/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,16/02/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,18/02/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,20/02/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,22/02/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,24/02/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,27/02/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,28/02/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,01/03/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,02/03/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,03/03/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,06/03/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,07/03/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,08/03/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,09/03/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,10/03/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,11/03/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,12/03/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,14/03/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,15/03/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,17/03/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,18/03/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,19/03/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,21/03/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,22/03/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,23/03/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,24/03/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,25/03/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,26/03/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,27/03/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,29/03/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,30/03/2019,5450,5850,5650
Jharkhand,Ranchi,Khunti,"Chili Red",Other,31/03/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,01/04/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,02/04/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,03/04/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,04/04/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,05/04/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,06/04/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,07/04/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,08/04/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,09/04/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,10/04/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,12/04/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,13/04/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,14/04/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,16/04/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,17/04/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,19/04/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,20/04/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,21/04/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,22/04/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,24/04/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,25/04/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,26/04/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,27/04/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,28/04/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,29/04/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,30/04/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,01/05/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,03/05/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,04/05/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,05/05/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,06/05/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,07/05/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,08/05/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,09/05/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,10/05/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,11/05/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,12/05/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,13/05/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,14/05/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,15/05/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,16/05/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,17/05/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,18/05/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,19/05/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,20/05/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,21/05/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,24/05/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,25/05/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,26/05/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,29/05/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,30/05/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,31/05/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,01/06/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,02/06/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,04/06/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,05/06/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,06/06/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,07/06/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,08/06/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,10/06/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,11/06/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,13/06/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,14/06/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,15/06/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,16/06/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,18/06/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,20/06/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,21/06/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,22/06/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,23/06/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,25/06/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,28/06/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,29/06/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,01/07/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,02/07/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,05/07/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,06/07/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,07/07/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,08/07/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,09/07/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,11/07/2019,17700,19700,18700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,12/07/2019,17500,19500,18500
Jharkhand,Ranchi,Khunti,"Chili Red",Other,15/07/2019,17700,19700,18700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,16/07/2019,17700,19700,18700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,17/07/2019,17700,19700,18700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,18/07/2019,17700,19700,18700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,19/07/2019,17700,19700,18700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,20/07/2019,17700,19700,18700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,21/07/2019,17700,19700,18700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,23/07/2019,17700,19700,18700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,24/07/2019,17700,19700,18700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,25/07/2019,17700,19700,18700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,26/07/2019,17700,19700,18700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,27/07/2019,17700,19700,18700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,29/07/2019,17700,19700,18700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,30/07/2019,17700,19700,18700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,31/07/2019,17700,19700,18700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,02/08/2019,17700,19700,18700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,03/08/2019,17700,19700,18700
Jharkhand,Ranchi,Khunti,"Chili Red",Other,05/08/2019,17700,19700,18700
Karnataka,Belgaum,Athani,"Chili Red",Other,07/03/2019,7400,7400,7400
Karnataka,Kolar,Malur,"Chili Red",Other,19/01/2019,6000,7000,6500
Karnataka,Kolar,Malur,"Chili Red",Other,30/01/2019,7000,8000,7500
Karnataka,Kolar,Malur,"Chili Red",Other,19/02/2019,7500,9000,8000
Karnataka,Kolar,Malur,"Chili Red",Other,20/02/2019,5800,7000,6000
Karnataka,Kolar,Malur,"Chili Red",Other,21/02/2019,7000,9000,7142
Karnataka,Kolar,Malur,"Chili Red",Other,30/04/2019,5800,8000,6000
Karnataka,Kolar,Malur,"Chili Red",Other,21/05/2019,6000,7000,6666
Karnataka,Kolar,Malur,"Chili Red",Other,06/06/2019,5800,6200,6000
Karnataka,Kolar,Malur,"Chili Red",Other,19/06/2019,4800,6000,5000
Karnataka,Kolar,Malur,"Chili Red",Other,24/07/2019,6000,7000,6250
