Sl.No,District,Irrigated,Unirrigated,Total
1,Kancheepuram,3,0,3
2,Thiruvallur,5,0,5
3,Cuddalore,20,0,20
4,Villupuram,32,1,33
5,Vellore,5,0,5
6,Thiruvannamalai,37,0,37
7,Salem,2,0,2
8,Namakkal,0,0,0
9,Dharmapuri,47,0,47
10,Krishnagiri,8,0,8
11,Coimbatore,0,0,0
12,Thiruppur,0,0,0
13,Erode,0,0,0
14,Tiruchirapalli,6,0,6
15,Karur,27,0,27
16,Perambalur,9,0,9
17,Ariyalur,0,0,0
18,Pudukottai,0,0,0
19,Thanjavur,0,0,0
20,Thiruvarur,0,0,0
21,Nagapattinam,0,0,0
22,Madurai,31,0,31
23,Theni,5,0,5
24,Dindigul,4,0,4
25,Ramanathapuram,0,0,0
26,Virudhunagar,2,0,2
27,Sivagangai,1,0,1
28,Tirunelveli,32,0,32
29,Thoothukudi,6,0,6
30,The Nilgiris,0,0,0
31,Kanyakumari,0,0,0
Total,State Total,282,1,283
